Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0354, 588, 4194304, 4194304, 78.3075, 19, 3.58862, 24, 13, 0.101247, 2.71977, 0.0248352
30.0451, 664, 4194304, 4194304, 88.4004, 22, 3.38285, 27, 14, 0.089584, 1.73002, 0.0140686
30.0662, 559, 4194304, 4194304, 74.3692, 18, 2.93238, 23, 11, 0.106613, 1.22911, 0.0261315
30.1011, 594, 4194304, 4194304, 78.9339, 19, 2.46259, 24, 16, 0.100448, 0.386424, 0.0145284
30.0723, 501, 4194304, 4194304, 66.6394, 16, 3.02271, 22, 10, 0.119085, 2.23608, 0.00354032
30.0649, 498, 4194304, 4194304, 66.2566, 16, 1.94286, 20, 13, 0.119785, 0.476798, 0.0242439
30.0584, 630, 4194304, 4194304, 83.8369, 20, 2.98194, 26, 14, 0.0944505, 0.457856, 0.016529
30.0705, 674, 4194304, 4194304, 89.6559, 22, 2.90778, 28, 17, 0.0883522, 0.444896, 0.0036014
30.1129, 643, 4194304, 4194304, 85.4119, 21, 3.16754, 26, 13, 0.0926902, 2.29194, 0.0140442
30.0569, 981, 4194304, 4194304, 130.552, 32, 3.15882, 41, 27, 0.12163, 0.696581, 0.0179356
30.1037, 1025, 4194304, 4194304, 136.196, 34, 3.6529, 43, 27, 0.116479, 0.463592, 0.00865312
30.1003, 1101, 4194304, 4194304, 146.311, 36, 4.11627, 44, 27, 0.1084, 0.470611, 0.0190272
30.1013, 970, 4194304, 4194304, 128.898, 32, 5.72592, 45, 24, 0.123061, 1.22387, 0.0207759
30.2086, 875, 4194304, 4194304, 115.861, 28, 3.22152, 36, 20, 0.137107, 1.25614, 0.0212618
30.1733, 911, 4194304, 4194304, 120.769, 30, 3.49318, 37, 23, 0.131339, 0.623299, 0.00434601
30.1103, 920, 4194304, 4194304, 122.217, 30, 3.33925, 38, 24, 0.129709, 0.52598, 0.00401886
30.1744, 898, 4194304, 4194304, 119.041, 29, 3.50763, 39, 25, 0.133341, 0.661316, 0.00747886
30.1174, 903, 4194304, 4194304, 119.931, 29, 3.07922, 35, 24, 0.132345, 0.791212, 0.0195278
30.196, 1053, 4194304, 4194304, 139.489, 34, 4.00933, 46, 30, 0.227885, 0.984784, 0.00537741
30.1604, 1056, 4194304, 4194304, 140.051, 35, 5.36228, 49, 25, 0.226968, 0.921068, 0.00511283
30.2272, 994, 4194304, 4194304, 131.537, 32, 4.22418, 42, 25, 0.241549, 1.18342, 0.00353235
30.2343, 1018, 4194304, 4194304, 134.682, 33, 4.14673, 47, 25, 0.236275, 1.46542, 0.0156739
30.8874, 1105, 4194304, 4194304, 143.1, 35, 4.43095, 48, 27, 0.218077, 3.01055, 0.013067
30.2389, 1085, 4194304, 4194304, 143.524, 35, 5.10814, 50, 25, 0.221281, 2.67338, 0.0238818
30.281, 1107, 4194304, 4194304, 146.23, 36, 4.95137, 47, 27, 0.217124, 1.07258, 0.0168132
30.1567, 1057, 4194304, 4194304, 140.201, 35, 4.95137, 50, 26, 0.226928, 1.4777, 0.0177636
30.1738, 1066, 4194304, 4194304, 141.315, 35, 5.12555, 50, 26, 0.224953, 0.829225, 0.0167228
30.625, 1137, 4194304, 4194304, 148.506, 37, 5.26275, 51, 30, 0.425238, 2.25305, 0.00487635
30.4863, 1014, 4194304, 4194304, 133.043, 33, 3.92106, 43, 25, 0.47597, 2.70964, 0.0158635
30.5403, 1017, 4194304, 4194304, 133.201, 33, 4.10718, 43, 25, 0.475065, 2.25632, 0.0216879
30.9909, 982, 4194304, 4194304, 126.747, 31, 3.98618, 41, 25, 0.495237, 2.75076, 0.0142149
30.5245, 994, 4194304, 4194304, 130.256, 32, 4.85372, 43, 22, 0.485901, 2.69039, 0.0178228
30.5692, 1068, 4194304, 4194304, 139.749, 34, 5.05783, 45, 24, 0.452757, 2.55349, 0.0117808
30.4881, 1074, 4194304, 4194304, 140.907, 35, 4.419, 44, 26, 0.449586, 2.57439, 0.0257498
30.4102, 1150, 4194304, 4194304, 151.265, 37, 4.97164, 48, 28, 0.419366, 3.47422, 0.0242171
30.494, 1132, 4194304, 4194304, 148.488, 37, 3.72025, 47, 31, 0.426774, 2.25543, 0.00350173
